classification	source_id	bucket	source_type	record_path	note	canonical_url
not_captured	src_doc_6f7a8b9c0d1e	agent_architecture	engineering_writeup	research/intake/records/src_doc_6f7a8b9c0d1e.json	no local capture in research/sources	https://docs.anthropic.com/en/engineering/claude-code-architecture
not_captured	src_doc_782b4bd3d5ea	state_management	official_doc	research/intake/records/src_doc_782b4bd3d5ea.json	no local capture in research/sources	https://developers.openai.com/codex/llms-full.txt
not_captured	src_doc_78e1a708df4a	tooling_tool_gateway	official_doc	research/intake/records/src_doc_78e1a708df4a.json	no local capture in research/sources	https://modelcontextprotocol.io/specification/2025-11-25/server/tools
not_captured	src_doc_7f7a70a67649	agent_architecture	engineering_writeup	research/intake/records/src_doc_7f7a70a67649.json	no local capture in research/sources	https://anthropic.com/engineering/effective-harnesses-for-long-running-agents
not_captured	src_doc_89233b00f468	context_engineering	official_doc	research/intake/records/src_doc_89233b00f468.json	no local capture in research/sources	https://developers.openai.com/cookbook/examples/gpt-5/gpt-5-2_prompting_guide
not_captured	src_doc_99a1c0d3aa11	tooling_tool_gateway	official_doc	research/intake/records/src_doc_99a1c0d3aa11.json	no local capture in research/sources	https://mintlify.com/openai/codex/security/approvals
not_captured	src_doc_9a3bbc4f637b	context_engineering	official_doc	research/intake/records/src_doc_9a3bbc4f637b.json	no local capture in research/sources	https://platform.claude.com/docs/en/build-with-claude/prompt-caching
not_captured	src_doc_9f8e7d6c5b4a	state_management	official_doc	research/intake/records/src_doc_9f8e7d6c5b4a.json	no local capture in research/sources	https://langchain-ai.github.io/langgraph/concepts/persistence
not_captured	src_doc_a3afc1e8c7c2	agent_architecture	engineering_writeup	research/intake/records/src_doc_a3afc1e8c7c2.json	no local capture in research/sources	https://anthropic.com/engineering/multi-agent-research-system
not_captured	src_doc_a7930779ecd3	state_management	engineering_writeup	research/intake/records/src_doc_a7930779ecd3.json	no local capture in research/sources	https://snaplogic.com/blog/agent-continuations-for-resumable-ai-workflows
not_captured	src_doc_ab12cd34ef56	tooling_tool_gateway	official_doc	research/intake/records/src_doc_ab12cd34ef56.json	no local capture in research/sources	https://arcade.dev/patterns/idempotent-operation
not_captured	src_doc_afbd4293bcd8	state_management	official_doc	research/intake/records/src_doc_afbd4293bcd8.json	no local capture in research/sources	https://developers.openai.com/codex/changelog
not_captured	src_doc_b977022f3f35	policy_program	official_doc	research/intake/records/src_doc_b977022f3f35.json	no local capture in research/sources	https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions
not_captured	src_doc_ba9e6bd31e94	context_engineering	official_doc	research/intake/records/src_doc_ba9e6bd31e94.json	no local capture in research/sources	https://developers.openai.com/cookbook/examples/prompt_caching_201
not_captured	src_doc_bc20d0f1a011	tooling_tool_gateway	official_doc	research/intake/records/src_doc_bc20d0f1a011.json	no local capture in research/sources	https://mintlify.com/openai/codex/config/managed
not_captured	src_doc_c55084f2b8ef	policy_program	official_doc	research/intake/records/src_doc_c55084f2b8ef.json	no local capture in research/sources	https://docs.github.com/en/copilot/concepts/agents/coding-agent/about-coding-agent
not_captured	src_doc_c91935979794	context_engineering	official_doc	research/intake/records/src_doc_c91935979794.json	no local capture in research/sources	https://platform.openai.com/llms-full.txt
not_captured	src_doc_d430f10ade0a	state_management	official_doc	research/intake/records/src_doc_d430f10ade0a.json	no local capture in research/sources	https://temporal.io/blog/building-ai-agents-that-overcome-the-complexity-cliff
not_captured	src_doc_e7c64f113146	policy_program	official_doc	research/intake/records/src_doc_e7c64f113146.json	no local capture in research/sources	https://agents.md/
not_captured	src_doc_e9d8c7b6a504	state_management	official_doc	research/intake/records/src_doc_e9d8c7b6a504.json	no local capture in research/sources	https://github.com/princeton-nlp/swe-agent/blob/main/docs/config.md
not_captured	src_doc_f1dc16d41a8d	policy_program	official_doc	research/intake/records/src_doc_f1dc16d41a8d.json	no local capture in research/sources	https://developers.google.com/gemini-code-assist/docs/use-agentic-chat-pair-programmer
not_captured	src_doc_f5e4d3c2b1a0	state_management	official_doc	research/intake/records/src_doc_f5e4d3c2b1a0.json	no local capture in research/sources	https://aider.chat/docs/git.html
not_captured	src_iss_15bd3d2d6a1d	context_engineering	issue_thread	research/intake/records/src_iss_15bd3d2d6a1d.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/16209
not_captured	src_iss_31cf9134cefa	state_management	issue_thread	research/intake/records/src_iss_31cf9134cefa.json	no local capture in research/sources	https://github.com/langchain4j/langchain4j/issues/4637
not_captured	src_iss_4c8fe1b50b87	state_management	issue_thread	research/intake/records/src_iss_4c8fe1b50b87.json	no local capture in research/sources	https://github.com/openai/codex/issues/14127
not_captured	src_iss_613424e145e5	state_management	issue_thread	research/intake/records/src_iss_613424e145e5.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/25032
not_captured	src_iss_6ba217fff208	state_management	issue_thread	research/intake/records/src_iss_6ba217fff208.json	no local capture in research/sources	https://github.com/OpenHands/OpenHands/issues/13476
not_captured	src_iss_6e82661ad778	context_engineering	issue_thread	research/intake/records/src_iss_6e82661ad778.json	no local capture in research/sources	https://github.com/google/adk-python/issues/4698
not_captured	src_iss_836cb2fc3bdb	state_management	issue_thread	research/intake/records/src_iss_836cb2fc3bdb.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/28965
not_captured	src_iss_89b2c3d4e5f1	execution_control	issue_thread	research/intake/records/src_iss_89b2c3d4e5f1.json	no local capture in research/sources	https://github.com/OpenDev/harbor/issues/11252
not_captured	src_iss_98321aba9fd0	policy_program	issue_thread	research/intake/records/src_iss_98321aba9fd0.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/34763
not_captured	src_iss_a1b2c3d4e5f6	state_management	issue_thread	research/intake/records/src_iss_a1b2c3d4e5f6.json	no local capture in research/sources	https://github.com/langchain-ai/langgraph/issues/7066
not_captured	src_iss_b2c0019233ff	tooling_tool_gateway	issue_thread	research/intake/records/src_iss_b2c0019233ff.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/30527
not_captured	src_iss_c0022a3aa0a0	tooling_tool_gateway	issue_thread	research/intake/records/src_iss_c0022a3aa0a0.json	no local capture in research/sources	https://github.com/openai/codex/issues/12350
not_captured	src_iss_c684343ec3ff	tooling_tool_gateway	issue_thread	research/intake/records/src_iss_c684343ec3ff.json	no local capture in research/sources	https://github.com/openai/codex/issues/14367
not_captured	src_iss_e4faff9a1db8	policy_program	issue_thread	research/intake/records/src_iss_e4faff9a1db8.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/24773
not_captured	src_iss_edac72dd9b31	state_management	issue_thread	research/intake/records/src_iss_edac72dd9b31.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/26246
not_captured	src_iss_f68a2210a011	tooling_tool_gateway	issue_thread	research/intake/records/src_iss_f68a2210a011.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/18200
not_captured	src_iss_f736e544a5b9	context_engineering	issue_thread	research/intake/records/src_iss_f736e544a5b9.json	no local capture in research/sources	https://github.com/anthropics/claude-code/issues/19567
not_captured	src_iss_f8789fd073cc	state_management	issue_thread	research/intake/records/src_iss_f8789fd073cc.json	no local capture in research/sources	https://github.com/openai/codex/issues/11022
not_captured	src_pap_1a1a0ed1ab5f	verification_completion	paper	research/intake/records/src_pap_1a1a0ed1ab5f.json	no local capture in research/sources	https://arxiv.org/abs/2602.10975
not_captured	src_pap_1a2b3c4d5e6f	agent_architecture	paper	research/intake/records/src_pap_1a2b3c4d5e6f.json	no local capture in research/sources	https://arxiv.org/abs/2601.00123
not_captured	src_pap_1e8650fff380	agent_architecture	paper	research/intake/records/src_pap_1e8650fff380.json	no local capture in research/sources	https://arxiv.org/abs/2601.23228
not_captured	src_pap_2b3c4d5e6f7a	agent_architecture	paper	research/intake/records/src_pap_2b3c4d5e6f7a.json	no local capture in research/sources	https://arxiv.org/abs/2602.04567
not_captured	src_pap_3c4d5e6f7a8b	agent_architecture	paper	research/intake/records/src_pap_3c4d5e6f7a8b.json	no local capture in research/sources	https://arxiv.org/abs/2512.09876
not_captured	src_pap_4d5e6f7a8b9c	agent_architecture	paper	research/intake/records/src_pap_4d5e6f7a8b9c.json	no local capture in research/sources	https://arxiv.org/abs/2603.01122
not_captured	src_pap_5e6f7a8b9c0d	agent_architecture	paper	research/intake/records/src_pap_5e6f7a8b9c0d.json	no local capture in research/sources	https://arxiv.org/abs/2601.08899
not_captured	src_pap_7a8b9c0d1e2f	agent_architecture	paper	research/intake/records/src_pap_7a8b9c0d1e2f.json	no local capture in research/sources	https://arxiv.org/abs/2511.08833
not_captured	src_pap_823572fab247	agent_architecture	paper	research/intake/records/src_pap_823572fab247.json	no local capture in research/sources	https://arxiv.org/abs/2601.04748
not_captured	src_pap_88f0a3dab9ef	verification_completion	paper	research/intake/records/src_pap_88f0a3dab9ef.json	no local capture in research/sources	https://arxiv.org/abs/2603.04601
not_captured	src_pap_9a7e75663b9d	agent_architecture	paper	research/intake/records/src_pap_9a7e75663b9d.json	no local capture in research/sources	https://arxiv.org/abs/2603.11445
not_captured	src_pap_9c739fa97b90	verification_completion	paper	research/intake/records/src_pap_9c739fa97b90.json	no local capture in research/sources	https://arxiv.org/abs/2601.04171
not_captured	src_pap_a8b2dce6dbdb	verification_completion	paper	research/intake/records/src_pap_a8b2dce6dbdb.json	no local capture in research/sources	https://arxiv.org/abs/2602.11724
not_captured	src_pap_b191e17f02bb	context_engineering	paper	research/intake/records/src_pap_b191e17f02bb.json	no local capture in research/sources	https://arxiv.org/abs/2512.22087
not_captured	src_pap_b899228fab98	verification_completion	paper	research/intake/records/src_pap_b899228fab98.json	no local capture in research/sources	https://arxiv.org/abs/2602.22518
not_captured	src_pap_bdd4bec2f953	agent_architecture	paper	research/intake/records/src_pap_bdd4bec2f953.json	no local capture in research/sources	https://arxiv.org/abs/2602.06039
not_captured	src_pap_d0aa241544b8	agent_architecture	paper	research/intake/records/src_pap_d0aa241544b8.json	no local capture in research/sources	https://arxiv.org/abs/2603.21489
not_captured	src_pap_f2c2e4624e92	agent_architecture	paper	research/intake/records/src_pap_f2c2e4624e92.json	no local capture in research/sources	https://arxiv.org/abs/2603.01045
not_captured	src_pmt_95c4bda555e0	state_management	engineering_writeup	research/intake/records/src_pmt_95c4bda555e0.json	no local capture in research/sources	https://openai.com/index/introducing-the-codex-app
not_captured	src_pmt_ca79e818d699	verification_completion	engineering_writeup	research/intake/records/src_pmt_ca79e818d699.json	no local capture in research/sources	https://developers.openai.com/blog/eval-skills
not_captured	src_pmt_cddfa4a4dcc6	verification_completion	engineering_writeup	research/intake/records/src_pmt_cddfa4a4dcc6.json	no local capture in research/sources	https://openai.com/index/harness-engineering
not_captured	src_pmt_dcf70963ea91	verification_completion	engineering_writeup	research/intake/records/src_pmt_dcf70963ea91.json	no local capture in research/sources	https://developers.openai.com/blog/run-long-horizon-tasks-with-codex
malformed_or_suspicious	src_art_2c3d4e5f6g7h	execution_control	engineering_writeup	MISSING	missing record file	https://blog.openhands.ai/2026/03/execution-control-mechanisms
malformed_or_suspicious	src_art_5f6g7h8i9j0k	execution_control	engineering_writeup	MISSING	missing record file	https://anthropic.com/research/agent-latency-optimization
malformed_or_suspicious	src_bnm_swebench555	verification_completion	benchmark_site	MISSING	missing record file	https://swebench.com/verified
malformed_or_suspicious	src_bnm_webarena444	verification_completion	benchmark_site	MISSING	missing record file	https://webarena-infinity.github.io/
malformed_or_suspicious	src_cod_lobehub222	verification_completion	repo	MISSING	missing record file	https://github.com/lobehub/agent-harness
malformed_or_suspicious	src_doc_bc23de45fg67	tooling_tool_gateway	official_doc	MISSING	missing record file	https://arcade.dev/patterns/error-classification
malformed_or_suspicious	src_doc_cd34ef56gh78	tooling_tool_gateway	official_doc	MISSING	missing record file	https://arcade.dev/patterns/tool-gateway
malformed_or_suspicious	src_doc_de45fg67hi89	tooling_tool_gateway	engineering_writeup	MISSING	missing record file	https://blog.langchain.com/the-anatomy-of-an-agent-harness
malformed_or_suspicious	src_doc_fg67hi89jk01	tooling_tool_gateway	official_doc	MISSING	missing record file	https://mintlify.com/openai/codex/architecture/sandboxing
malformed_or_suspicious	src_doc_openclaw111	verification_completion	official_doc	MISSING	missing record file	https://github.com/openclaw/orchestrator
malformed_or_suspicious	src_iss_4e5f6g7h8i9j	execution_control	issue_thread	MISSING	missing record file	https://github.com/openai/codex/issues/14005
malformed_or_suspicious	src_iss_gh78ij90kl12	tooling_tool_gateway	engineering_writeup	MISSING	missing record file	https://pierce.dev/notes/a-deep-dive-on-agent-sandboxes
malformed_or_suspicious	src_pap_3d4e5f6g7h8i	execution_control	paper	MISSING	missing record file	https://arxiv.org/abs/2602.09876
malformed_or_suspicious	src_pap_8b9c0d1e2f3g	agent_architecture	paper	MISSING	missing record file	https://arxiv.org/abs/2602.09112
malformed_or_suspicious	src_pap_9c0d1e2f3g4h	agent_architecture	paper	MISSING	missing record file	https://arxiv.org/abs/2603.04455
malformed_or_suspicious	src_pap_bonmav333	verification_completion	paper	MISSING	missing record file	https://arxiv.org/abs/2602.11223
malformed_or_suspicious	src_pap_ef56gh78ij90	tooling_tool_gateway	paper	MISSING	missing record file	https://arxiv.org/abs/2603.05344
malformed_or_suspicious	src_pap_stepshield666	verification_completion	paper	MISSING	missing record file	https://arxiv.org/abs/2601.05555
malformed_or_suspicious	src_repo_af5e6d72d40d	state_management	repo	MISSING	missing record file	https://github.com/jafreck/AAMF
malformed_or_suspicious	src_repo_e1639106d3fd	state_management	repo	MISSING	missing record file	https://github.com/canyonroad/agentsh
malformed_or_suspicious	src_sep_9901d8c1a011	tooling_tool_gateway	official_doc	MISSING	missing record file	https://github.com/modelcontextprotocol/specification/blob/main/SEPs/SEP-2260.md
malformed_or_suspicious	src_sep_ca66b02a33ff	tooling_tool_gateway	official_doc	MISSING	missing record file	https://github.com/modelcontextprotocol/specification/blob/main/SEPs/SEP-1303.md
